dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett2/H/long,moiraic_base_11,296.1682208994709,296.1682208994709,10.957083953373017,1.2026727873116465,0.2121406467985614,0.2062266516307043,16.900938236614262,17.20953866027416,0.2356713865132846,0.1500488315468151,0.126930498393707,Energy,7
ett2/H/medium,moiraic_base_11,356.9747023809524,356.9747023809524,12.290283203125,1.2707315795069791,0.2053097037435213,0.2003791445777529,15.733020257123012,18.89377416984104,0.254605757070114,0.1656194697474821,0.1391505500315776,Energy,7
ett2/H/short,moiraic_base_11,154.9211123511905,154.9211123511905,7.616011410667783,0.8424119058213358,0.1315085291240588,0.1219663199924287,6.099404106596948,12.44673099055292,0.1578591714758496,0.0965922098060243,0.0771199335302759,Energy,7
ett2/W/short,moiraic_base_11,3157136.0,3157136.0,1295.7328404017858,0.9407801941422528,0.1692718437739781,0.1774756397519792,8.914144123424697,1776.8331379170077,0.1490490597589925,0.1086921205145575,0.0921407806364831,Energy,7
hierarchical_sales/D/short,moiraic_base_11,29.048113405591156,29.048113405591156,2.3055269037115025,0.7452404890708885,0.6169763939756604,1.0604754192073171,7.136084145229283,5.389630173359871,1.6534788506331757,0.7073101218884355,0.5742607648965662,Sales,1
hierarchical_sales/W/short,moiraic_base_11,481.6561631024894,481.6561631024894,9.22946580789857,0.73693030277994,0.5470802570640765,0.471274868916657,6.734053475561372,21.946666332326863,1.0075821862300902,0.4237292897081352,0.3536123450145815,Sales,1
hospital/M/short,moiraic_base_11,3571.737586918731,3571.737586918731,19.377839500828443,0.7910497954975053,0.1965053745685894,0.1794162519803932,5.258643443511742,59.764015819878864,0.2169572554774599,0.0703460571969136,0.0556622226438097,Healthcare,1
jena_weather/10T/long,moiraic_base_11,1820.395238095238,1820.395238095238,12.717975983796295,0.8003064376098817,1.1282073148648786,0.7097561306423611,17.489952132627614,42.66609002586525,0.2610811175834201,0.0778234748306139,0.0684675536487504,Nature,21
jena_weather/10T/medium,moiraic_base_11,2067.766136814574,2067.766136814574,12.718446180555556,0.6928746222340814,1.1629174035883916,0.6935002050358495,11.663621052237485,45.472696608124906,0.2790651617134231,0.078052886784067,0.0672388994421875,Nature,21
jena_weather/10T/short,moiraic_base_11,1116.052135358538,1116.052135358538,7.290850503104074,0.3369242257126909,0.4365250689837824,0.57162468584757,2.8501299442696584,33.40736648343503,0.2075016160291775,0.0452853194031737,0.0368494004749549,Nature,21
